date,level_true,level_pred,sp500_close
2014-05-30,1946.8892,1922.8712,1923.5699462890625
2014-06-06,1973.0729,1921.9716,1949.43994140625
2014-06-06,1999.6085,1938.2411,1949.43994140625
2014-06-13,1985.9869,1960.6891,1936.1600341796875
2014-06-13,1972.458,1997.8336,1936.1600341796875
2014-06-20,1999.6688,2024.1481,1962.8699951171875
2014-06-20,2027.2548,2035.4452,1962.8699951171875
2014-06-27,2025.282,2043.4303,1960.9599609375
2014-06-27,2023.3113,2051.5605,1960.9599609375
2014-07-04,2048.5698,2053.2273,1985.43994140625
2014-07-04,2074.1433,2063.1694,1985.43994140625
2014-07-11,2055.4749,2074.569,1967.5699462890625
2014-07-11,2036.9746,2074.777,1967.5699462890625
2014-07-18,2048.0005,2079.4258,1978.219970703125
2014-07-18,2059.0857,2082.4153,1978.219970703125
2014-07-25,2059.2104,2077.9436,1978.3399658203125
2014-07-25,2059.3354,2085.4624,1978.3399658203125
2014-08-01,2003.9679,2091.8235,1925.1500244140625
2014-08-01,1950.0889,2054.7095,1925.1500244140625
2014-08-08,1956.6122,2029.4895,1931.5899658203125
2014-08-08,1963.1576,1995.7357,1931.5899658203125
2014-08-15,1987.0111,1956.205,1955.06005859375
2014-08-15,2011.1545,1962.3635,1955.06005859375
2014-08-22,2045.4512,1948.5305,1988.4000244140625
2014-08-22,2080.3325,1983.385,1988.4000244140625
2014-08-29,2095.9946,2023.8328,2003.3699951171875
2014-08-29,2111.7747,2052.511,2003.3699951171875
2014-09-05,2116.3496,2082.2893,2007.7099609375
2014-09-05,2120.9343,2083.0837,2007.7099609375
2014-09-12,2097.5142,2085.25,1985.5400390625
2014-09-12,2074.3523,2059.6719,1985.5400390625
2014-09-19,2100.3245,2033.1454,2010.4000244140625
2014-09-19,2126.6216,2040.4833,2010.4000244140625
2014-09-26,2097.479,2045.9204,1982.8499755859373
2014-09-26,2068.7356,2051.1353,1982.8499755859373
2014-10-03,2053.138,2076.042,1967.9000244140625
2014-10-03,2037.6582,2053.6138,1967.9000244140625
2014-10-10,1973.6986,2036.3207,1906.1300048828125
2014-10-10,1911.7465,1983.3905,1906.1300048828125
2014-10-17,1892.3193,1929.9993,1886.760009765625
2014-10-17,1873.0897,1867.9376,1886.760009765625
2014-10-24,1950.346,1816.3083,1964.5799560546875
2014-10-24,2030.7883,1816.093,1964.5799560546875
2014-10-31,2086.0605,1820.9008,2018.050048828125
