window,start_date,end_date,rmse,r2,directional_accuracy
117,2016-08-26,2016-08-26,0.0038010362,,1.0
118,2016-09-02,2016-09-02,0.012444431,,0.0
119,2016-09-09,2016-09-09,0.012466182,,1.0
120,2016-09-16,2016-09-16,0.017636837,,0.0
121,2016-09-23,2016-09-23,0.03212455,,0.0
122,2016-09-30,2016-09-30,0.0036224173,,1.0
123,2016-10-07,2016-10-07,0.022065159,,0.0
124,2016-10-14,2016-10-14,0.0098358905,,0.0
125,2016-10-21,2016-10-21,0.009145968,,0.0
126,2016-10-28,2016-10-28,0.004505,,1.0
127,2016-11-04,2016-11-04,0.02064883,,0.0
128,2016-11-11,2016-11-11,0.05360719,,0.0
129,2016-11-18,2016-11-18,0.004495091,,1.0
130,2016-11-25,2016-11-25,0.007785921,,1.0
131,2016-12-02,2016-12-02,0.026870217,,0.0
132,2016-12-09,2016-12-09,0.03333433,,0.0
133,2016-12-16,2016-12-16,0.016558345,,0.0
134,2016-12-23,2016-12-23,0.008557054,,1.0
135,2016-12-30,2016-12-30,0.01237265,,0.0
136,2017-01-06,2017-01-06,0.01803854,,0.0
137,2017-01-13,2017-01-13,0.0037586628,,0.0
138,2017-01-20,2017-01-20,0.0035612881,,1.0
139,2017-01-27,2017-01-27,0.0110017955,,0.0
140,2017-02-03,2017-02-03,0.0006139712,,1.0
141,2017-02-10,2017-02-10,0.004462625,,1.0
142,2017-02-17,2017-02-17,0.0073664393,,1.0
143,2017-02-24,2017-02-24,0.0033286614,,1.0
144,2017-03-03,2017-03-03,0.004155713,,1.0
145,2017-03-10,2017-03-10,0.014914592,,0.0
146,2017-03-17,2017-03-17,0.0071370704,,0.0
147,2017-03-24,2017-03-24,0.023079984,,0.0
148,2017-03-31,2017-03-31,6.5695494e-06,,1.0
149,2017-04-07,2017-04-07,0.0011599855,,1.0
150,2017-04-14,2017-04-14,0.020812944,,0.0
151,2017-04-21,2017-04-21,0.006825581,,1.0
152,2017-04-28,2017-04-28,0.016613219,,0.0
153,2017-05-05,2017-05-05,0.0004788218,,1.0
154,2017-05-12,2017-05-12,0.013705539,,0.0
155,2017-05-19,2017-05-19,0.010687709,,1.0
