date,level_true,level_pred,sp500_close
2014-05-30,1955.1603,1924.4973,1923.5699462890625
2014-06-06,1981.4552,1923.0536,1949.43994140625
2014-06-13,1967.9572,1928.6604,1936.1600341796875
2014-06-20,1995.1058,1932.5492,1962.8699951171875
2014-06-27,1993.1643,1937.2032,1960.9599609375
2014-07-04,2021.9027,1943.3975,1985.43994140625
2014-07-11,2003.7043,1952.7529,1967.5699462890625
2014-07-18,2014.5499,1957.2485,1978.219970703125
2014-07-25,2014.6721,1958.6558,1978.3399658203125
2014-08-01,1960.5054,1968.7992,1925.1500244140625
2014-08-08,1967.0636,1983.2339,1931.5899658203125
2014-08-15,1990.9647,1988.198,1955.06005859375
2014-08-22,2024.917,1997.0635,1988.4000244140625
2014-08-29,2040.162,1998.1653,2003.3699951171875
2014-09-05,2051.3706,2010.0016,2007.7099609375
2014-09-12,2028.7184,2012.7036,1985.5400390625
2014-09-19,2054.119,2014.8795,2010.4000244140625
2014-09-26,2025.97,2025.0972,1982.8499755859373
2014-10-03,2010.6948,2029.3655,1967.9000244140625
2014-10-10,1947.5814,2034.6776,1906.1300048828125
2014-10-17,1927.7904,2045.039,1886.760009765625
2014-10-24,2007.3025,2049.2354,1964.5799560546875
2014-10-31,2061.9353,2052.3474,2018.050048828125
2014-11-07,2076.1072,2065.3987,2031.9200439453125
2014-11-14,2084.1787,2067.8,2039.8199462890625
2014-11-21,2108.3738,2081.004,2063.5
2014-11-28,2123.5852,2094.1094,2067.56005859375
2014-12-05,2131.6067,2113.7036,2075.3701171875
2014-12-12,2056.5874,2118.6226,2002.3299560546875
2014-12-19,2126.7588,2125.4326,2070.64990234375
2014-12-26,2155.1743,2144.4668,2088.77001953125
2015-01-02,2130.6606,2175.8962,2058.199951171875
2015-01-09,2116.7993,2214.065,2044.81005859375
2015-01-16,2090.5154,2244.4878,2019.4200439453125
2015-01-23,2152.5698,2275.7202,2051.820068359375
2015-01-30,2092.9492,2315.3591,1994.989990234375
2015-02-06,2156.3992,2357.102,2055.469970703125
2015-02-13,2199.9578,2395.567,2096.989990234375
