window,start_date,end_date,rmse,r2,directional_accuracy
79,2015-11-27,2015-12-04,0.03528804,-53316.4140625,1.0
80,2015-12-04,2015-12-11,0.038599953,-2.8363263607025146,0.5
81,2015-12-11,2015-12-18,0.027122233,-1.3661227226257324,1.0
82,2015-12-18,2015-12-25,0.035918664,-4.488772869110107,0.5
83,2015-12-25,2016-01-01,0.019687388,-0.2250124216079712,0.5
84,2016-01-01,2016-01-08,0.051209245,-2.7076058387756348,0.0
85,2016-01-08,2016-01-15,0.027080614,-0.8741545677185059,1.0
86,2016-01-15,2016-01-22,0.0401599,-3.9871668815612793,0.5
87,2016-01-22,2016-01-29,0.019671423,-141.03756713867188,0.0
88,2016-01-29,2016-02-05,0.027531086,-0.27071428298950195,0.5
89,2016-02-05,2016-02-12,0.018422445,-1.4881937503814697,1.0
90,2016-02-12,2016-02-19,0.02636266,-1.123683214187622,0.5
91,2016-02-19,2016-02-26,0.022160646,-11.848929405212402,0.5
92,2016-02-26,2016-03-04,0.01498962,-6.919993877410889,1.0
93,2016-03-04,2016-03-11,0.008745278,-0.311229944229126,1.0
94,2016-03-11,2016-03-18,0.0010680137,0.2176893949508667,1.0
95,2016-03-18,2016-03-25,0.021504806,-3.564478874206543,0.5
96,2016-03-25,2016-04-01,0.014019237,-0.2979849576950073,0.5
97,2016-04-01,2016-04-08,0.011645324,0.40347176790237427,0.5
98,2016-04-08,2016-04-15,0.014095204,0.0058179497718811035,0.5
99,2016-04-15,2016-04-22,0.021032045,-14.031801223754883,0.0
100,2016-04-22,2016-04-29,0.008329128,0.12861192226409912,0.5
101,2016-04-29,2016-05-06,0.007777846,-2.207754611968994,1.0
102,2016-05-06,2016-05-13,0.008856651,-227.05271911621094,1.0
103,2016-05-13,2016-05-20,0.014976877,-13.311075210571289,0.5
104,2016-05-20,2016-05-27,0.016860778,-1.9204213619232178,0.0
105,2016-05-27,2016-06-03,0.013139739,-0.36593031883239746,1.0
106,2016-06-03,2016-06-10,0.012336423,-272.4696044921875,0.5
107,2016-06-10,2016-06-17,0.013659096,-5.810874938964844,0.0
108,2016-06-17,2016-06-24,0.00445504,-2.8653416633605957,1.0
109,2016-06-24,2016-07-01,0.029676704,-0.5213838815689087,0.5
110,2016-07-01,2016-07-08,0.0160544,-1.8777146339416504,1.0
111,2016-07-08,2016-07-15,0.012081902,-130.8260040283203,1.0
112,2016-07-15,2016-07-22,0.008362217,-2.6874170303344727,1.0
113,2016-07-22,2016-07-29,0.013291996,-14.343589782714844,0.5
114,2016-07-29,2016-08-05,0.010579146,-17.543716430664062,0.5
115,2016-08-05,2016-08-12,0.0060049556,-9.449078559875488,0.5
116,2016-08-12,2016-08-19,0.0004887371,-1.463411569595337,1.0
117,2016-08-19,2016-08-26,0.0039030027,-0.3447239398956299,1.0
118,2016-08-26,2016-09-02,0.0055803675,0.11218386888504028,0.5
119,2016-09-02,2016-09-09,0.018675452,-0.6302340030670166,0.5
120,2016-09-09,2016-09-16,0.01667138,-0.2738422155380249,0.5
121,2016-09-16,2016-09-23,0.014878293,-19.676170349121094,0.5
122,2016-09-23,2016-09-30,0.010983075,-3.6273460388183594,0.5
123,2016-09-30,2016-10-07,0.010078362,-4.790828704833984,0.5
124,2016-10-07,2016-10-14,0.012321283,-68.21312713623047,0.0
125,2016-10-14,2016-10-21,0.0051667667,0.4152568578720093,0.5
126,2016-10-21,2016-10-28,0.006170389,-0.3202453851699829,0.5
127,2016-10-28,2016-11-04,0.015861271,-5.271454334259033,0.0
128,2016-11-04,2016-11-11,0.03422387,-0.44753992557525635,0.5
129,2016-11-11,2016-11-18,0.030020328,-3.204439640045166,0.0
130,2016-11-18,2016-11-25,0.014284893,-19.686574935913086,0.5
131,2016-11-25,2016-12-02,0.015073228,-0.5742555856704712,0.5
132,2016-12-02,2016-12-09,0.019017795,0.09946024417877197,0.5
133,2016-12-09,2016-12-16,0.017462201,-0.26826000213623047,0.5
134,2016-12-16,2016-12-23,0.025265284,-252.0900115966797,0.5
135,2016-12-23,2016-12-30,0.010631738,-1.4384417533874512,0.5
136,2016-12-30,2017-01-06,0.0229157,-1.6823866367340088,0.5
137,2017-01-06,2017-01-13,0.013128156,-1.1456506252288818,0.5
138,2017-01-13,2017-01-20,0.005000177,-523.3455810546875,0.0
139,2017-01-20,2017-01-27,0.013056485,-3.976243495941162,0.0
140,2017-01-27,2017-02-03,0.0037315027,0.3202611804008484,1.0
141,2017-02-03,2017-02-10,0.007342958,-3.518172264099121,1.0
142,2017-02-10,2017-02-17,0.012108537,-11.22601318359375,0.5
143,2017-02-17,2017-02-24,0.008455729,-3.289090156555176,1.0
144,2017-02-24,2017-03-03,0.006459209,-3622.444091796875,1.0
145,2017-03-03,2017-03-10,0.005804304,-0.10012102127075195,0.5
146,2017-03-10,2017-03-17,0.0038970015,-0.3127009868621826,0.5
147,2017-03-17,2017-03-24,0.01039459,-0.5144582986831665,0.5
148,2017-03-24,2017-03-31,0.010982046,0.045181095600128174,1.0
149,2017-03-31,2017-04-07,0.006832415,-0.541346549987793,0.5
150,2017-04-07,2017-04-14,0.0052422895,-0.5922067165374756,0.5
151,2017-04-14,2017-04-21,0.012544704,-0.6068305969238281,0.5
152,2017-04-21,2017-04-28,0.021967601,-43.7775993347168,0.0
153,2017-04-28,2017-05-05,0.0053486973,-0.5130428075790405,1.0
154,2017-05-05,2017-05-12,0.015147894,-8.532827377319336,0.5
155,2017-05-12,2017-05-19,0.0029829112,-307.49072265625,0.5
156,2017-05-19,2017-05-26,0.009516278,-0.1112903356552124,0.5
157,2017-05-26,2017-06-02,0.0047353194,-3.1774563789367676,1.0
158,2017-06-02,2017-06-09,0.008665725,-0.8994133472442627,0.5
159,2017-06-09,2017-06-16,0.0028778838,-1.607072114944458,0.5
160,2017-06-16,2017-06-23,0.0051126783,-42.68137741088867,0.0
