window,start_date,end_date,rmse,r2,directional_accuracy
92,2016-07-08,2016-07-08,0.007538735681745748,,1.0
93,2016-07-15,2016-07-15,0.008231261916981918,,1.0
94,2016-07-22,2016-07-22,0.000919648196394101,,1.0
95,2016-07-29,2016-07-29,0.008523157329342872,,0.0
96,2016-08-05,2016-08-05,0.005669442753148641,,0.0
97,2016-08-12,2016-08-12,0.007738135445000498,,1.0
98,2016-08-19,2016-08-19,0.0030763326567904304,,0.0
99,2016-08-26,2016-08-26,0.015083123078947996,,0.0
100,2016-09-02,2016-09-02,0.0023833037819162486,,1.0
101,2016-09-09,2016-09-09,0.025252251816402727,,0.0
102,2016-09-16,2016-09-16,4.8858737605626465e-05,,1.0
103,2016-09-23,2016-09-23,0.004888732222982925,,1.0
104,2016-09-30,2016-09-30,0.00532608741468671,,1.0
105,2016-10-07,2016-10-07,0.015311076330554885,,0.0
106,2016-10-14,2016-10-14,0.015262421352647451,,0.0
107,2016-10-21,2016-10-21,0.002839651278448525,,1.0
108,2016-10-28,2016-10-28,0.011036106169353292,,0.0
109,2016-11-04,2016-11-04,0.02588964726137794,,0.0
110,2016-11-11,2016-11-11,0.03146210508368254,,1.0
111,2016-11-18,2016-11-18,0.0019437684547608993,,1.0
112,2016-11-25,2016-11-25,0.0028301445628485175,,1.0
113,2016-12-02,2016-12-02,0.02054920632179308,,0.0
114,2016-12-09,2016-12-09,0.029101060332344993,,1.0
115,2016-12-16,2016-12-16,0.011075146418144667,,0.0
116,2016-12-23,2016-12-23,0.0050179199826121046,,1.0
117,2016-12-30,2016-12-30,0.016641596410800312,,0.0
118,2017-01-06,2017-01-06,0.0033332672371140515,,1.0
119,2017-01-13,2017-01-13,0.00936447573193732,,0.0
120,2017-01-20,2017-01-20,0.006604122161386701,,1.0
121,2017-01-27,2017-01-27,0.0004551407255066909,,1.0
122,2017-02-03,2017-02-03,0.004609871221613898,,1.0
123,2017-02-10,2017-02-10,0.0009248676687115898,,1.0
124,2017-02-17,2017-02-17,0.00780978752731831,,1.0
125,2017-02-24,2017-02-24,0.0009462809280835708,,1.0
126,2017-03-03,2017-03-03,0.0012226003764951188,,1.0
127,2017-03-10,2017-03-10,0.010817750251589995,,0.0
128,2017-03-17,2017-03-17,0.0030914028838539605,,1.0
129,2017-03-24,2017-03-24,0.019964912597630044,,0.0
130,2017-03-31,2017-03-31,0.0007881967034910932,,1.0
131,2017-04-07,2017-04-07,0.001115557115109694,,1.0
132,2017-04-14,2017-04-14,0.017626580158011156,,0.0
133,2017-04-21,2017-04-21,0.005799205764873145,,1.0
134,2017-04-28,2017-04-28,0.01523503685485749,,0.0
135,2017-05-05,2017-05-05,0.0023668465746485247,,1.0
136,2017-05-12,2017-05-12,0.004682334344698024,,0.0
137,2017-05-19,2017-05-19,0.005813921124789633,,0.0
138,2017-05-26,2017-05-26,0.012811743988782681,,1.0
139,2017-06-02,2017-06-02,0.006892590264442113,,1.0
140,2017-06-09,2017-06-09,0.004454109404581827,,0.0
141,2017-06-16,2017-06-16,0.0016881551785159132,,1.0
142,2017-06-23,2017-06-23,0.0016269393698929435,,1.0
143,2017-06-30,2017-06-30,0.008051840661262041,,0.0
144,2017-07-07,2017-07-07,0.0007731853892568659,,1.0
145,2017-07-14,2017-07-14,0.01190718982437082,,1.0
146,2017-07-21,2017-07-21,0.0027041051164738554,,1.0
147,2017-07-28,2017-07-28,0.004131818614279791,,0.0
148,2017-08-04,2017-08-04,0.007825398660990784,,0.0
149,2017-08-11,2017-08-11,0.01795137909608031,,0.0
150,2017-08-18,2017-08-18,0.01008344334741455,,0.0
151,2017-08-25,2017-08-25,0.0050074864739905744,,1.0
152,2017-09-01,2017-09-01,0.008536078566804627,,1.0
153,2017-09-08,2017-09-08,0.007618757523803591,,0.0
154,2017-09-15,2017-09-15,0.01510440878293613,,1.0
155,2017-09-22,2017-09-22,0.005403091649744243,,1.0
156,2017-09-29,2017-09-29,0.002224182611333156,,1.0
157,2017-10-06,2017-10-06,0.0043211906753539905,,1.0
158,2017-10-13,2017-10-13,0.0019814753529578404,,1.0
159,2017-10-20,2017-10-20,0.004198298813075872,,1.0
160,2017-10-27,2017-10-27,0.003382618843885833,,1.0
161,2017-11-03,2017-11-03,0.00030012923715025137,,1.0
162,2017-11-10,2017-11-10,0.008752016886645238,,0.0
163,2017-11-17,2017-11-17,0.006429260609134825,,0.0
164,2017-11-24,2017-11-24,0.004054578063361361,,1.0
165,2017-12-01,2017-12-01,0.012887182120115798,,1.0
166,2017-12-08,2017-12-08,0.0020569044936847598,,1.0
167,2017-12-15,2017-12-15,0.0038732308348451826,,1.0
168,2017-12-22,2017-12-22,0.0019921286432913942,,1.0
169,2017-12-29,2017-12-29,0.013054741902896004,,0.0
170,2018-01-05,2018-01-05,0.02051306222554523,,0.0
171,2018-01-12,2018-01-12,0.013331116455134025,,1.0
172,2018-01-19,2018-01-19,0.010258461446525752,,1.0
173,2018-01-26,2018-01-26,0.015057433092787648,,1.0
174,2018-02-02,2018-02-02,0.04480947063930796,,0.0
175,2018-02-09,2018-02-09,0.057179761619671914,,0.0
176,2018-02-16,2018-02-16,0.03731023887318905,,1.0
177,2018-02-23,2018-02-23,0.0017972206633048889,,1.0
178,2018-03-02,2018-03-02,0.027780928049348133,,0.0
179,2018-03-09,2018-03-09,0.029102285075271867,,1.0
180,2018-03-16,2018-03-16,0.013686113889475045,,0.0
181,2018-03-23,2018-03-23,0.0675514310436332,,0.0
182,2018-03-30,2018-03-30,0.005404993401291584,,0.0
183,2018-04-06,2018-04-06,0.016079124582106714,,0.0
184,2018-04-13,2018-04-13,0.015143403077381384,,1.0
185,2018-04-20,2018-04-20,0.00021995762770869037,,1.0
186,2018-04-27,2018-04-27,0.006779832918815529,,0.0
187,2018-05-04,2018-05-04,0.004322350204599275,,0.0
188,2018-05-11,2018-05-11,0.020075364377414594,,1.0
189,2018-05-18,2018-05-18,0.009885000761598178,,0.0
190,2018-05-25,2018-05-25,0.0011551502322414984,,1.0
191,2018-06-01,2018-06-01,0.0005417119858203774,,1.0
192,2018-06-08,2018-06-08,0.01664283762518519,,0.0
193,2018-06-15,2018-06-15,0.0003202965398639828,,0.0
194,2018-06-22,2018-06-22,0.006422571028200626,,1.0
195,2018-06-29,2018-06-29,0.012114593411860674,,1.0
196,2018-07-06,2018-07-06,0.01590952392444362,,0.0
197,2018-07-13,2018-07-13,0.013099210604842492,,1.0
198,2018-07-20,2018-07-20,0.0041733655390801296,,1.0
199,2018-07-27,2018-07-27,0.007856704854305839,,0.0
200,2018-08-03,2018-08-03,0.003933167548397438,,1.0
201,2018-08-10,2018-08-10,0.005281776077657595,,0.0
202,2018-08-17,2018-08-17,0.0041668456984497015,,1.0
203,2018-08-24,2018-08-24,0.005455042910187013,,1.0
204,2018-08-31,2018-08-31,0.006510032702786091,,1.0
205,2018-09-07,2018-09-07,0.009920808298788494,,1.0
206,2018-09-14,2018-09-14,0.010697277967824229,,1.0
207,2018-09-21,2018-09-21,0.008036085798312912,,1.0
208,2018-09-28,2018-09-28,0.002779064638797346,,1.0
209,2018-10-05,2018-10-05,0.01049017337831024,,0.0
210,2018-10-12,2018-10-12,0.04010868238928868,,1.0
211,2018-10-19,2018-10-19,0.0010107463622683914,,0.0
212,2018-10-26,2018-10-26,0.04066281718989693,,0.0
213,2018-11-02,2018-11-02,0.024178806134332324,,0.0
214,2018-11-09,2018-11-09,0.02090269985113793,,1.0
215,2018-11-16,2018-11-16,0.017593356890729307,,0.0
216,2018-11-23,2018-11-23,0.03369835061284775,,1.0
217,2018-11-30,2018-11-30,0.04497583165629184,,1.0
218,2018-12-07,2018-12-07,0.04001116747711073,,0.0
219,2018-12-14,2018-12-14,0.011035723723907417,,1.0
220,2018-12-21,2018-12-21,0.07354742368103036,,0.0
221,2018-12-28,2018-12-28,0.00842541253609714,,0.0
222,2019-01-04,2019-01-04,0.016200744176659045,,1.0
223,2019-01-11,2019-01-11,0.02323717208171868,,1.0
224,2019-01-18,2019-01-18,0.029519045982715195,,0.0
225,2019-01-25,2019-01-25,0.009645843434473722,,1.0
226,2019-02-01,2019-02-01,0.01580753110925697,,0.0
227,2019-02-08,2019-02-08,0.0007378760838014256,,0.0
