date,cum_true,cum_pred
2014-05-30,1955.1603208389397,1921.874441131376
2014-06-06,1981.4551729749423,1918.8996400637352
2014-06-13,1967.9571728287722,1910.712694839934
2014-06-20,1995.1057852405468,1900.4455318273801
2014-06-27,1993.1643829587142,1888.3916748734002
2014-07-04,2021.9026135058984,1878.3463977424162
2014-07-11,2003.7044353385447,1868.8995077788138
2014-07-18,2014.5500475301176,1862.8990504908184
2014-07-25,2014.6722463599883,1872.8773677614317
2014-08-01,1960.5054708319421,1879.778656524599
2014-08-08,1967.0636818067762,1874.6562870016692
2014-08-15,1990.9648032004961,1871.1986395098068
2014-08-22,2024.917058542596,1849.2181556962357
2014-08-29,2040.1619530913501,1856.7088586858642
2014-09-05,2051.370481149186,1863.968056637058
2014-09-12,2028.718441677122,1869.1874414016786
2014-09-19,2054.1190433664897,1850.531068814567
2014-09-26,2025.9698793755356,1855.7185384448865
2014-10-03,2010.6948204953642,1856.2363956314714
2014-10-10,1947.581520964514,1864.1537645812325
2014-10-17,1927.7902970359987,1856.7436982420504
2014-10-24,2007.3025446568852,1842.4844300341267
2014-10-31,2061.9354203683047,1842.4089573522292
2014-11-07,2076.107037938833,1848.3128653047052
2014-11-14,2084.1787348055545,1849.471273247011
2014-11-21,2108.3737452626233,1854.9089787519483
2014-11-28,2123.585115204393,1860.1931540506926
2014-12-05,2131.606804365363,1888.215825601092
2014-12-12,2056.587458402628,1931.4477777227264
2014-12-19,2126.7586829029624,1973.9153361383778
2014-12-26,2155.174247456365,1981.4491215764924
2015-01-02,2130.66064281051,2023.0058918173772
2015-01-09,2116.799347383715,2039.2651830858622
2015-01-16,2090.5154556688162,2048.4747099742663
2015-01-23,2152.569903046302,2052.7477126024733
2015-01-30,2092.9493157123798,2048.2230928438826
2015-02-06,2156.3990241858696,2052.616126043884
2015-02-13,2199.957788369171,2085.999718429011
2015-02-20,2222.942556406414,2097.1794263194165
2015-02-27,2216.8329155316023,2117.4919557454323
2015-03-06,2181.818659910666,2124.3489407258157
2015-03-13,2163.0052251748234,2106.8639654629883
2015-03-20,2220.625179608862,2096.8387671923974
2015-03-27,2171.0320871375857,2100.237586371397
2015-04-03,2182.4461305490986,2088.2033062985415
2015-04-10,2219.507356951822,2110.0400792172636
2015-04-17,2197.460606645372,2111.1078257329996
2015-04-24,2236.010519694638,2116.9062154728217
2015-05-01,2226.085422434389,2125.5461189203766
2015-05-08,2234.3318485468494,2155.395875250916
2015-05-15,2241.332159316547,2168.506581849839
2015-05-22,2244.8482971877556,2190.262221482212
2015-05-29,2220.1642847266185,2190.4204535583494
2015-06-05,2204.825319711562,2190.314804314585
2015-06-12,2206.1738482620117,2183.6768894794595
2015-06-19,2222.903523344964,2183.6422060916816
2015-06-26,2213.9486558294675,2183.4134962992084
2015-07-03,2187.0629113609234,2176.4331632295816
2015-07-10,2186.8945074613152,2173.1623793477142
2015-07-17,2239.570475217859,2171.37914825809
2015-07-24,2190.0851828385357,2156.3757541610244
2015-07-31,2215.5599360406786,2148.999721934245
2015-08-07,2187.894903662888,2148.470658596408
2015-08-14,2202.606719254246,2151.3834117620318
2015-08-21,2075.5498392360128,2168.8760055071107
2015-08-28,2094.484607451062,2160.3244884494725
2015-09-04,2023.2421719629658,2156.947920813344
2015-09-11,2033.5288526823851,2132.4053478117326
2015-09-18,2030.397215851008,2115.1227673611434
2015-09-25,2002.7207092588008,2090.074806348178
2015-10-02,2023.4806522181477,2058.7160830680878
2015-10-09,2089.358693647279,2052.501957065485
2015-10-16,2108.252058227838,2034.8625301222187
2015-10-23,2151.845736064613,2035.9746439340092
2015-10-30,2156.2115469614414,2024.4488035875388
2015-11-06,2176.7846554825906,2037.3653656627177
2015-11-13,2097.8099347845687,2050.1094044430056
2015-11-20,2166.383922359181,2061.8759891776845
2015-11-27,2175.6169170497033,2085.4083152861454
2015-12-04,2177.261382310778,2099.877949484463
2015-12-11,2094.6964440103225,2108.5548304479908
2015-12-18,2087.5974922263963,2103.3661492959486
2015-12-25,2107.1250176933986,2097.2466630744843
2016-01-01,2086.3526460696467,2078.6375387638836
2016-01-08,1961.9130497598137,2059.8304665988067
2016-01-15,1919.3476813506256,2045.1516416613977
2016-01-22,1904.4271140443045,2022.2933640395245
2016-01-29,1937.7238437212848,1995.6741302188457
2016-02-05,1877.6119570841686,1979.5194518170656
2016-02-12,1862.3617415945344,1950.964335082776
2016-02-19,1952.6757916513186,1921.41451460588
2016-02-26,1983.4966039395479,1907.4459909909178
2016-03-04,2036.3816414668115,1901.1143328876597
2016-03-11,2058.9855412784154,1908.008975293518
2016-03-18,2086.874065287835,1908.5488104050228
2016-03-25,2082.118570408215,1923.611893128312
2016-04-01,2119.7942536629694,1924.992625546112
2016-04-08,2094.043073744356,1931.5962040814027
2016-04-15,2127.924522957304,1966.90655681677
2016-04-22,2139.0207189142384,1987.7619763248779
2016-04-29,2112.1446124740105,2017.5048554934478
2016-05-06,2103.799370106041,2023.1309622570939
2016-05-13,2093.0306259448676,2018.9630643815144
2016-05-20,2098.8702236329086,2000.492289752015
2016-05-27,2146.670358436593,1994.1430239967158
2016-06-03,2155.944542288602,1992.3841375312581
2016-06-10,2152.801911439061,1997.8330430489007
2016-06-17,2127.2792255689906,1999.1887568480229
2016-06-24,2092.5541963132714,2000.857008558136
2016-07-01,2159.8680099303615,2005.5954496905088
2016-07-08,2191.8100434382727,2007.485498571977
2016-07-15,2224.575632175351,2021.339505515041
2016-07-22,2238.2519752187704,2039.4805073920113
2016-07-29,2236.7804794374515,2037.376680691664
