run_name,context_len,horizon_weeks,step_weeks,epochs,dropout,lr,scenario_k,rmse,r2,directional_accuracy,mode
hist_only_grid40,12,2,1,20,0.3,0.0001,5,256-128,2,0.02529331110417843,-0.18382275104522705,0.6157059314954052,historical_only
hist_only_grid41,12,2,1,20,0.3,5e-05,3,128-64,1,0.024913374334573746,-0.14852488040924072,0.5931495405179615,historical_only
hist_only_grid42,12,2,1,20,0.3,5e-05,3,128-64,2,0.025190923362970352,-0.17425775527954102,0.6157059314954052,historical_only
hist_only_grid43,12,2,1,20,0.3,5e-05,3,256-128,1,0.025326037779450417,-0.1868879795074463,0.6081871345029239,historical_only
hist_only_grid44,12,2,1,20,0.3,5e-05,3,256-128,2,0.02515740692615509,-0.1711353063583374,0.6031746031746031,historical_only
hist_only_grid45,12,2,1,20,0.3,5e-05,5,128-64,1,0.02454148605465889,-0.11449217796325684,0.6123642439431913,historical_only
hist_only_grid46,12,2,1,20,0.3,5e-05,5,128-64,2,0.02456008456647396,-0.11618185043334961,0.5981620718462823,historical_only
hist_only_grid47,12,2,1,20,0.3,5e-05,5,256-128,1,0.024557743221521378,-0.11596918106079102,0.6040100250626567,historical_only
hist_only_grid48,12,2,1,20,0.3,5e-05,5,256-128,2,0.025191666558384895,-0.17432701587677002,0.5981620718462823,historical_only
hist_only_grid49,16,2,1,20,0.1,0.0001,3,128-64,1,0.02527930587530136,-0.18251192569732666,0.6040100250626567,historical_only
hist_only_grid50,16,2,1,20,0.1,0.0001,3,128-64,2,0.025075841695070267,-0.1635533571243286,0.6182121971595655,historical_only
hist_only_grid51,16,2,1,20,0.1,0.0001,3,256-128,1,0.025386182591319084,-0.19253218173980713,0.6098579782790309,historical_only
hist_only_grid52,16,2,1,20,0.1,0.0001,3,256-128,2,0.024802224710583687,-0.13829946517944336,0.6307435254803676,historical_only
hist_only_grid53,16,2,1,20,0.1,0.0001,5,128-64,1,0.024934088811278343,-0.1504354476928711,0.6240601503759399,historical_only
hist_only_grid54,16,2,1,20,0.1,0.0001,5,128-64,2,0.02486109547317028,-0.14370977878570557,0.6382623224728488,historical_only
hist_only_grid55,16,2,1,20,0.1,0.0001,5,256-128,1,0.02449866011738777,-0.11060583591461182,0.6390977443609023,historical_only
hist_only_grid56,16,2,1,20,0.1,0.0001,5,256-128,2,0.024615798145532608,-0.12125182151794434,0.6416040100250626,historical_only
hist_only_grid57,16,2,1,20,0.1,5e-05,3,128-64,1,0.024816006422042847,-0.13956499099731445,0.6190476190476191,historical_only
hist_only_grid58,16,2,1,20,0.1,5e-05,3,128-64,2,0.025454744696617126,-0.1989823579788208,0.5989974937343359,historical_only
hist_only_grid59,16,2,1,20,0.1,5e-05,3,256-128,1,0.025261979550123215,-0.18089163303375244,0.6240601503759399,historical_only
hist_only_grid60,16,2,1,20,0.1,5e-05,3,256-128,2,0.02531813085079193,-0.18614721298217773,0.6048454469507101,historical_only
hist_only_grid61,16,2,1,20,0.1,5e-05,5,128-64,1,0.02473684772849083,-0.13230645656585693,0.620718462823726,historical_only
hist_only_grid62,16,2,1,20,0.1,5e-05,5,128-64,2,0.02525002881884575,-0.17977464199066162,0.6165413533834586,historical_only
hist_only_grid63,16,2,1,20,0.1,5e-05,5,256-128,1,0.02483000047504902,-0.14085066318511963,0.6165413533834586,historical_only
hist_only_grid64,16,2,1,20,0.1,5e-05,5,256-128,2,0.025241823866963387,-0.17900800704956055,0.6190476190476191,historical_only
hist_only_grid65,16,2,1,20,0.2,0.0001,3,128-64,1,0.024750208482146263,-0.13353002071380615,0.6173767752715121,historical_only
hist_only_grid66,16,2,1,20,0.2,0.0001,3,128-64,2,0.025192487984895706,-0.17440354824066162,0.6182121971595655,historical_only
hist_only_grid67,16,2,1,20,0.2,0.0001,3,256-128,1,0.024788405746221542,-0.1370314359664917,0.6232247284878863,historical_only
hist_only_grid68,16,2,1,20,0.2,0.0001,3,256-128,2,0.025343026965856552,-0.18848097324371338,0.5964912280701754,historical_only
hist_only_grid69,16,2,1,20,0.2,0.0001,5,128-64,1,0.024768788367509842,-0.13523244857788086,0.6131996658312447,historical_only
hist_only_grid70,16,2,1,20,0.2,0.0001,5,128-64,2,0.024323666468262672,-0.09479629993438721,0.6248955722639933,historical_only
hist_only_grid71,16,2,1,20,0.2,0.0001,5,256-128,1,0.02487475797533989,-0.1449671983718872,0.6173767752715121,historical_only
hist_only_grid72,16,2,1,20,0.2,0.0001,5,256-128,2,0.024273037910461426,-0.09024357795715332,0.6441102756892231,historical_only
hist_only_grid73,16,2,1,20,0.2,5e-05,3,128-64,1,0.02455971948802471,-0.11614871025085449,0.6090225563909775,historical_only
hist_only_grid74,16,2,1,20,0.2,5e-05,3,128-64,2,0.02520504593849182,-0.1755748987197876,0.5981620718462823,historical_only
hist_only_grid75,16,2,1,20,0.2,5e-05,3,256-128,1,0.025717319920659065,-0.22384583950042725,0.5964912280701754,historical_only
hist_only_grid76,16,2,1,20,0.2,5e-05,3,256-128,2,0.025123901665210724,-0.16801774501800537,0.6215538847117794,historical_only
hist_only_grid77,16,2,1,20,0.2,5e-05,5,128-64,1,0.024921251460909843,-0.14925122261047363,0.6157059314954052,historical_only
hist_only_grid78,16,2,1,20,0.2,5e-05,5,128-64,2,0.024590669199824333,-0.11896371841430664,0.5981620718462823,historical_only
hist_only_grid79,16,2,1,20,0.2,5e-05,5,256-128,1,0.025243107229471207,-0.17912793159484863,0.6123642439431913,historical_only
hist_only_grid80,16,2,1,20,0.2,5e-05,5,256-128,2,0.02533470280468464,-0.18770051002502441,0.6081871345029239,historical_only
hist_only_grid81,16,2,1,20,0.3,0.0001,3,128-64,1,0.024532895535230637,-0.11371195316314697,0.6123642439431913,historical_only
hist_only_grid82,16,2,1,20,0.3,0.0001,3,128-64,2,0.02410135231912136,-0.0748753547668457,0.6031746031746031,historical_only
hist_only_grid83,16,2,1,20,0.3,0.0001,3,256-128,1,0.024667389690876007,-0.12595665454864502,0.5989974937343359,historical_only
hist_only_grid84,16,2,1,20,0.3,0.0001,3,256-128,2,0.025052322074770927,-0.16137170791625977,0.6090225563909775,historical_only
hist_only_grid85,16,2,1,20,0.3,0.0001,5,128-64,1,0.02479315921664238,-0.137467622756958,0.6098579782790309,historical_only
hist_only_grid86,16,2,1,20,0.3,0.0001,5,128-64,2,0.024670973420143127,-0.12628400325775146,0.6157059314954052,historical_only
hist_only_grid87,16,2,1,20,0.3,0.0001,5,256-128,1,0.024530040100216866,-0.11345267295837402,0.6324143692564745,historical_only
hist_only_grid88,16,2,1,20,0.3,0.0001,5,256-128,2,0.024330254644155502,-0.09538960456848145,0.6340852130325815,historical_only
hist_only_grid89,16,2,1,20,0.3,5e-05,3,128-64,1,0.025186581537127495,-0.17385315895080566,0.6048454469507101,historical_only
hist_only_grid90,16,2,1,20,0.3,5e-05,3,128-64,2,0.025036094710230827,-0.15986764430999756,0.6106934001670844,historical_only
hist_only_grid91,16,2,1,20,0.3,5e-05,3,256-128,1,0.025751320645213127,-0.22708404064178467,0.6148705096073517,historical_only
hist_only_grid92,16,2,1,20,0.3,5e-05,3,256-128,2,0.02499443292617798,-0.15601062774658203,0.6106934001670844,historical_only
hist_only_grid93,16,2,1,20,0.3,5e-05,5,128-64,1,0.024688249453902245,-0.12786173820495605,0.6140350877192983,historical_only
hist_only_grid94,16,2,1,20,0.3,5e-05,5,128-64,2,0.02439464069902897,-0.10119473934173584,0.6265664160401002,historical_only
hist_only_grid95,16,2,1,20,0.3,5e-05,5,256-128,1,0.025636322796344757,-0.21614885330200195,0.6157059314954052,historical_only
hist_only_grid96,16,2,1,20,0.3,5e-05,5,256-128,2,0.024739328771829605,-0.13253355026245117,0.6299081035923141,historical_only
hist_only_grid97,20,2,1,20,0.1,0.0001,3,128-64,1,0.024748608469963074,-0.13338351249694824,0.6215538847117794,historical_only
hist_only_grid98,20,2,1,20,0.1,0.0001,3,128-64,2,0.024291733279824257,-0.09192371368408203,0.6324143692564745,historical_only
hist_only_grid99,20,2,1,20,0.1,0.0001,3,256-128,1,0.025874370709061623,-0.23883914947509766,0.6040100250626567,historical_only
hist_only_grid100,20,2,1,20,0.1,0.0001,3,256-128,2,0.024842865765094757,-0.14203298091888428,0.6165413533834586,historical_only
hist_only_grid101,20,2,1,20,0.1,0.0001,5,128-64,1,0.024223443120718002,-0.08579301834106445,0.6031746031746031,historical_only
hist_only_grid102,20,2,1,20,0.1,0.0001,5,128-64,2,0.02479577250778675,-0.13770747184753418,0.6240601503759399,historical_only
hist_only_grid103,20,2,1,20,0.1,0.0001,5,256-128,1,0.024662936106324196,-0.1255500316619873,0.6157059314954052,historical_only
hist_only_grid104,20,2,1,20,0.1,0.0001,5,256-128,2,0.025124240666627884,-0.16804921627044678,0.6324143692564745,historical_only
hist_only_grid105,20,2,1,20,0.1,5e-05,3,128-64,1,0.02471035160124302,-0.12988221645355225,0.6131996658312447,historical_only
hist_only_grid106,20,2,1,20,0.1,5e-05,3,128-64,2,0.025337571278214455,-0.18796944618225098,0.6182121971595655,historical_only
hist_only_grid107,20,2,1,20,0.1,5e-05,3,256-128,1,0.02533734031021595,-0.18794763088226318,0.6056808688387636,historical_only
hist_only_grid108,20,2,1,20,0.1,5e-05,3,256-128,2,0.025351569056510925,-0.18928229808807373,0.5964912280701754,historical_only
hist_only_grid109,20,2,1,20,0.1,5e-05,5,128-64,1,0.024698063731193542,-0.12875866889953613,0.6173767752715121,historical_only
hist_only_grid110,20,2,1,20,0.1,5e-05,5,128-64,2,0.02520075812935829,-0.17517495155334473,0.6248955722639933,historical_only
hist_only_grid111,20,2,1,20,0.1,5e-05,5,256-128,1,0.02553592436015606,-0.2066420316696167,0.5939849624060151,historical_only
hist_only_grid112,20,2,1,20,0.1,5e-05,5,256-128,2,0.025279875844717026,-0.18256545066833496,0.606516290726817,historical_only
hist_only_grid113,20,2,1,20,0.2,0.0001,3,128-64,1,0.024702731519937515,-0.12918531894683838,0.6232247284878863,historical_only
hist_only_grid114,20,2,1,20,0.2,0.0001,3,128-64,2,0.024585003033280373,-0.11844801902770996,0.6240601503759399,historical_only
hist_only_grid115,20,2,1,20,0.2,0.0001,3,256-128,1,0.02547900378704071,-0.20126867294311523,0.5998329156223893,historical_only
hist_only_grid116,20,2,1,20,0.2,0.0001,3,256-128,2,0.025237927213311195,-0.178644061088562,0.6048454469507101,historical_only
hist_only_grid117,20,2,1,20,0.2,0.0001,5,128-64,1,0.0245318915694952,-0.11362075805664062,0.6015037593984962,historical_only
hist_only_grid118,20,2,1,20,0.2,0.0001,5,128-64,2,0.024788931012153625,-0.13707971572875977,0.6056808688387636,historical_only
hist_only_grid119,20,2,1,20,0.2,0.0001,5,256-128,1,0.02545037865638733,-0.1985710859298706,0.6257309941520468,historical_only
hist_only_grid120,20,2,1,20,0.2,0.0001,5,256-128,2,0.025212740525603294,-0.17629265785217285,0.6115288220551378,historical_only
hist_only_grid121,20,2,1,20,0.2,5e-05,3,128-64,1,0.025209354236721992,-0.17597675323486328,0.6173767752715121,historical_only
hist_only_grid122,20,2,1,20,0.2,5e-05,3,128-64,2,0.02520933747291565,-0.17597520351409912,0.6148705096073517,historical_only
hist_only_grid123,20,2,1,20,0.2,5e-05,3,256-128,1,0.025938354432582855,-0.2449735403060913,0.5989974937343359,historical_only
hist_only_grid124,20,2,1,20,0.2,5e-05,3,256-128,2,0.025117715820670128,-0.1674426794052124,0.5981620718462823,historical_only
hist_only_grid125,20,2,1,20,0.2,5e-05,5,128-64,1,0.02469419315457344,-0.12840485572814941,0.6165413533834586,historical_only
hist_only_grid126,20,2,1,20,0.2,5e-05,5,128-64,2,0.02486136369407177,-0.14373445510864258,0.620718462823726,historical_only
hist_only_grid127,20,2,1,20,0.2,5e-05,5,256-128,1,0.02528177760541439,-0.18274331092834473,0.6023391812865497,historical_only
hist_only_grid128,20,2,1,20,0.2,5e-05,5,256-128,2,0.025037571787834167,-0.1600046157836914,0.6140350877192983,historical_only
hist_only_grid129,20,2,1,20,0.3,0.0001,3,128-64,1,0.025059930980205536,-0.1620774269104004,0.6198830409356725,historical_only
hist_only_grid130,20,2,1,20,0.3,0.0001,3,128-64,2,0.024857474491000175,-0.14337658882141113,0.6215538847117794,historical_only
hist_only_grid131,20,2,1,20,0.3,0.0001,3,256-128,1,0.02468302473425865,-0.12738442420959473,0.6307435254803676,historical_only
hist_only_grid132,20,2,1,20,0.3,0.0001,3,256-128,2,0.025443006306886673,-0.19787681102752686,0.6223893065998329,historical_only
hist_only_grid133,20,2,1,20,0.3,0.0001,5,128-64,1,0.02443360537290573,-0.10471534729003906,0.6031746031746031,historical_only
hist_only_grid134,20,2,1,20,0.3,0.0001,5,128-64,2,0.02462690882384777,-0.12226414680480957,0.6240601503759399,historical_only
hist_only_grid135,20,2,1,20,0.3,0.0001,5,256-128,1,0.025077449157834053,-0.16370272636413574,0.606516290726817,historical_only
hist_only_grid136,20,2,1,20,0.3,0.0001,5,256-128,2,0.024977974593639374,-0.1544889211654663,0.6115288220551378,historical_only
hist_only_grid137,20,2,1,20,0.3,5e-05,3,128-64,1,0.02510995604097843,-0.16672158241271973,0.6081871345029239,historical_only
hist_only_grid138,20,2,1,20,0.3,5e-05,3,128-64,2,0.02490895986557007,-0.1481177806854248,0.5981620718462823,historical_only
hist_only_grid139,20,2,1,20,0.3,5e-05,3,256-128,1,0.025098588317632675,-0.16566526889801025,0.6115288220551378,historical_only
hist_only_grid140,20,2,1,20,0.3,5e-05,3,256-128,2,0.02515258453786373,-0.17068636417388916,0.6090225563909775,historical_only
hist_only_grid141,20,2,1,20,0.3,5e-05,5,128-64,1,0.02462792955338955,-0.12235713005065918,0.633249791144528,historical_only
hist_only_grid142,20,2,1,20,0.3,5e-05,5,128-64,2,0.02538447640836239,-0.19237184524536133,0.6006683375104428,historical_only
hist_only_grid143,20,2,1,20,0.3,5e-05,5,256-128,1,0.025325443595647812,-0.18683242797851562,0.5973266499582289,historical_only
hist_only_grid144,20,2,1,20,0.3,5e-05,5,256-128,2,0.02586154267191887,-0.2376110553741455,0.6106934001670844,historical_only
hist_only,16,2,1,20,0.2,1e-05,5,256-128,2,0.02496114745736122,-0.15293371677398682,0.620718462823726,historical_only
hist_only,16,2,1,20,0.2,0.0001,5,256-128,2,0.024501780048012733,-0.11088871955871582,0.6157059314954052,historical_only
hist_only,16,2,1,20,0.2,0.0001,5,256-128,2,0.024715080857276917,-0.13031470775604248,0.6248955722639933,historical_only
hist_best,16,2,1,20,0.2,0.0001,5,256-128,2,0.024868011474609375,-0.1443462371826172,0.6190476190476191,historical_only
hist_only,16,2,1,20,0.2,0.0001,5,256-128,2,0.02546725422143936,-0.20016121864318848,0.6131996658312447,historical_only
